sample	cls	assembly_Mb	assembly_gapped_Mb	ngsdose_Mb
HG01940	bSat	18.607	0.0	15.205
HG01940	aSatHOR	151.35	0.0	136.8566
HG01940	ACRO	3.434	0.0	2.7557
HG01940	SST1	2.129	0.0	0.5966
HG01940	CER	1.863	0.0	0.791
HG01940	SATR	2.713	0.0	0.2325
HG01943	HSat1A	25.928	0.0	20.2332
HG01943	HSat1B	11.954	0.0	10.2686
HG01943	HSat2	32.353	10.705	56.5221
HG01943	HSat3	79.641	0.0	72.8112
HG01943	bSat	14.603	0.0	10.378
HG01943	aSatHOR	141.892	0.0	126.1845
HG01943	ACRO	4.201	0.0	3.5655
HG01943	SST1	3.0	0.0	0.6157
HG01943	CER	2.079	0.0	0.9314
HG01943	SATR	2.725	0.0	0.233
HG01952	HSat1A	22.82	0.0	18.8749
HG01952	HSat1B	11.216	0.0	10.2123
HG01952	HSat2	39.638	0.0	40.5975
HG01952	HSat3	71.355	0.0	65.9515
HG01952	bSat	14.846	0.0	10.1685
HG01952	aSatHOR	141.478	0.0	133.4038
HG01952	ACRO	4.067	0.0	3.2039
HG01952	SST1	2.655	0.0	0.7166
HG01952	CER	1.876	0.0	0.7843
HG01952	SATR	2.722	0.0	0.2466
HG01960	HSat1A	21.5	0.0	18.0754
HG01960	HSat1B	1.689	0.0	1.357
HG01960	HSat2	28.852	15.388	47.3188
HG01960	HSat3	62.531	0.0	59.9561
HG01960	bSat	14.329	0.0	10.4982
HG01960	aSatHOR	137.003	0.0	138.5383
HG01960	ACRO	4.069	0.0	3.2708
HG01960	SST1	1.834	0.0	0.5043
HG01960	CER	2.021	0.0	0.8773
HG01960	SATR	2.764	0.0	0.265
HG01969	HSat1A	18.69	0.0	16.6844
HG01969	HSat1B	1.434	0.0	1.207
HG01969	HSat2	37.98	2.587	42.1165
HG01969	HSat3	62.579	0.0	61.0363
HG01969	bSat	13.774	0.0	10.5721
HG01969	aSatHOR	146.81	0.0	149.725
HG01969	ACRO	3.755	0.0	3.0229
HG01969	SST1	2.225	0.0	0.7761
HG01969	CER	2.088	0.0	0.9284
HG01969	SATR	2.736	0.0	0.2391
HG01975	HSat1A	21.026	0.0	17.3116
HG01975	HSat1B	1.78	0.0	1.3622
HG01975	HSat2	36.884	8.854	57.5352
HG01975	HSat3	52.055	0.042	45.3414
HG01975	bSat	13.35	0.0	9.3358
HG01975	aSatHOR	152.206	0.0	143.0028
HG01975	ACRO	3.975	0.0	3.0354
HG01975	SST1	2.189	0.0	0.7693
HG01975	CER	1.838	0.0	0.7784
HG01975	SATR	2.727	0.0	0.2373
HG01978	HSat1A	17.683	0.0	15.1779
HG01978	HSat1B	1.691	0.0	1.3544
HG01978	HSat2	48.75	1.25	65.3174
HG01978	HSat3	55.582	0.0	61.5724
HG01978	bSat	15.071	0.0	10.9586
HG01978	aSatHOR	154.536	0.0	145.6482
HG01978	ACRO	4.444	0.0	3.5848
HG01978	SST1	1.841	0.0	0.6671
HG01978	CER	1.958	0.0	0.8486
HG01978	SATR	2.769	0.0	0.2634
HG01981	HSat1A	20.23	0.0	17.9807
HG01981	HSat1B	1.666	0.0	1.3665
HG01981	HSat2	41.552	25.742	68.4551
HG01981	HSat3	62.956	0.0	63.3439
HG01981	bSat	14.919	0.0	11.4979
HG01981	aSatHOR	143.983	0.0	144.5018
HG01981	ACRO	4.0	0.0	3.2889
HG01981	SST1	2.01	0.0	0.7215
HG01981	CER	2.079	0.0	0.9097
HG01981	SATR	2.745	0.0	0.2586
HG01993	HSat1A	19.323	0.0	15.9659
HG01993	HSat1B	1.698	0.0	1.4609
HG01993	HSat2	27.219	0.0	51.7029
HG01993	HSat3	57.861	0.0	54.1304
HG01993	bSat	15.107	0.0	11.7572
HG01993	aSatHOR	156.748	0.0	155.9763
HG01993	ACRO	3.803	0.0	3.4958
HG01993	SST1	1.991	0.0	0.7307
HG01993	CER	1.82	0.0	0.7713
HG01993	SATR	2.752	0.0	0.2545
HG02004	HSat1A	21.605	0.0	20.1953
HG02004	HSat1B	1.88	0.0	1.9697
HG02004	HSat2	26.365	5.524	35.5137
HG02004	HSat3	71.643	0.05	66.8384
HG02004	bSat	14.235	0.0	10.9673
HG02004	aSatHOR	148.246	0.0	150.9014
HG02004	ACRO	3.417	0.0	2.8094
HG02004	SST1	2.368	0.0	0.6631
HG02004	CER	2.011	0.0	0.8561
HG02004	SATR	2.749	0.0	0.252
HG02015	HSat1A	15.535	0.0	13.9654
HG02015	HSat1B	8.948	0.0	10.8848
HG02015	HSat2	27.718	11.451	44.441
HG02015	HSat3	62.115	0.0	74.2151
HG02015	bSat	17.168	0.0	12.3609
HG02015	aSatHOR	140.836	0.0	142.3792
HG02015	ACRO	3.342	0.0	2.6781
HG02015	SST1	2.643	0.0	0.5663
HG02015	CER	2.0	0.0	0.8404
HG02015	SATR	2.761	0.0	0.2843
HG02027	HSat1A	19.633	0.0	21.9617
HG02027	HSat1B	18.306	0.0	15.6915
HG02027	HSat2	23.428	9.92	75.5759
HG02027	HSat3	85.727	0.0	80.8896
HG02027	bSat	14.63	0.0	9.7369
HG02027	aSatHOR	151.308	0.0	150.542
HG02027	ACRO	3.547	0.0	2.8927
HG02027	SST1	2.583	0.0	0.5341
HG02027	CER	1.822	0.0	0.7244
HG02027	SATR	2.749	0.0	0.2485
HG02040	HSat1A	21.972	0.0	19.1054
HG02040	HSat1B	19.114	0.0	18.4222
HG02040	HSat2	26.88	3.339	38.7659
HG02040	HSat3	80.233	0.0	77.7859
HG02040	bSat	13.994	0.0	10.374
HG02040	aSatHOR	158.579	0.0	154.7017
HG02040	ACRO	3.432	0.0	2.8071
HG02040	SST1	2.73	0.0	0.7008
HG02040	CER	1.814	0.0	0.805
HG02040	SATR	2.738	0.0	0.2589
HG02056	HSat1A	21.582	0.0	19.7147
HG02056	HSat1B	14.97	0.0	14.3632
HG02056	HSat2	24.718	8.3	36.8424
HG02056	HSat3	85.651	0.0	88.9241
HG02056	bSat	13.875	0.0	10.7798
HG02056	aSatHOR	138.969	0.0	144.6859
HG02056	ACRO	2.405	0.0	2.3165
HG02056	SST1	2.975	0.0	0.6573
HG02056	CER	1.764	0.0	0.8207
HG02056	SATR	2.728	0.0	0.2584
HG02071	HSat1A	18.98	0.0	15.0846
HG02071	HSat1B	11.01	0.0	10.8582
HG02071	HSat2	36.436	3.825	47.3848
HG02071	HSat3	60.909	0.0	48.3351
HG02071	bSat	14.122	0.0	9.792
HG02071	aSatHOR	151.403	0.0	139.4776
HG02071	ACRO	3.539	0.0	2.7418
HG02071	SST1	2.933	0.0	0.5423
HG02071	CER	1.773	0.0	0.7626
HG02071	SATR	2.735	0.0	0.2371
HG02074	HSat1A	19.628	0.0	16.3732
HG02074	HSat1B	11.273	0.0	10.0901
HG02074	HSat2	28.591	4.987	64.3764
HG02074	HSat3	69.249	0.118	61.9119
HG02074	bSat	15.527	0.0	11.6822
HG02074	aSatHOR	145.838	0.0	145.6497
HG02074	ACRO	3.94	0.0	3.1647
HG02074	SST1	3.049	0.0	0.6722
HG02074	CER	1.703	0.0	0.741
HG02074	SATR	2.741	0.0	0.2599
HG02083	HSat1A	28.558	0.0	25.7813
HG02083	HSat1B	19.858	0.0	19.8526
HG02083	HSat2	16.806	7.791	31.3512
HG02083	HSat3	83.705	0.0	78.5
HG02083	bSat	14.056	0.0	10.0524
HG02083	aSatHOR	149.763	0.0	153.1661
HG02083	ACRO	3.47	0.0	2.9915
HG02083	SST1	2.738	0.0	0.6664
HG02083	CER	1.93	0.0	0.8379
HG02083	SATR	2.743	0.0	0.2498
HG02129	HSat1A	18.532	0.0	16.2792
HG02129	HSat1B	18.69	0.0	17.8597
HG02129	HSat2	28.47	0.0	50.1301
HG02129	HSat3	80.682	0.0	76.0087
HG02129	bSat	15.426	0.0	10.9665
HG02129	aSatHOR	137.993	0.0	139.0473
HG02129	ACRO	3.865	0.0	3.0868
HG02129	SST1	2.664	0.0	0.5887
HG02129	CER	1.951	0.0	0.8239
HG02129	SATR	2.73	0.0	0.2512
HG02132	HSat1A	24.254	0.0	22.2267
HG02132	HSat1B	13.507	0.0	14.2354
HG02132	HSat2	30.021	1.069	50.3415
HG02132	HSat3	70.598	0.0	74.3309
HG02132	bSat	13.996	0.0	10.2413
HG02132	aSatHOR	147.721	0.0	152.333
HG02132	ACRO	3.07	0.0	2.6725
HG02132	SST1	2.331	0.0	0.3737
HG02132	CER	1.843	0.0	0.8062
HG02132	SATR	2.743	0.0	0.2559
HG02135	HSat1A	19.678	0.0	16.8214
HG02135	HSat1B	17.88	0.0	16.3536
HG02135	HSat2	24.793	0.128	54.9057
HG02135	HSat3	72.542	0.022	64.1881
HG02135	bSat	16.033	0.0	11.8919
HG02135	aSatHOR	153.512	0.0	141.4539
HG02135	ACRO	3.743	0.0	2.9752
HG02135	SST1	2.301	0.0	0.5073
HG02135	CER	1.99	0.0	0.8483
HG02135	SATR	2.744	0.0	0.2365
HG02148	HSat1A	16.159	0.0	13.963
HG02148	HSat1B	1.88	0.0	1.5103
HG02148	HSat2	28.405	23.79	52.4784
HG02148	HSat3	64.087	0.013	55.433
HG02148	bSat	12.96	0.0	10.0939
HG02148	aSatHOR	149.774	0.0	154.3837
HG02148	ACRO	3.003	0.0	2.4224
HG02148	SST1	2.162	0.0	0.6725
HG02148	CER	1.796	0.0	0.864
HG02148	SATR	2.715	0.0	0.2293
HG02155	HSat1A	18.689	0.0	16.9445
HG02155	HSat1B	2.769	0.0	2.4415
HG02155	HSat2	28.831	0.535	47.3201
HG02155	HSat3	52.666	0.0	46.7034
HG02155	bSat	14.481	0.0	10.9204
HG02155	aSatHOR	145.648	0.0	151.7255
HG02155	ACRO	3.909	0.0	3.0473
HG02155	SST1	1.971	0.0	0.7012
HG02155	CER	1.907	0.0	0.8128
HG02155	SATR	2.744	0.0	0.2401
HG02165	HSat1A	21.05	0.0	16.6277
HG02165	HSat1B	1.932	0.0	1.6073
HG02165	HSat2	32.836	0.842	59.371
HG02165	HSat3	56.599	0.0	48.563
HG02165	bSat	13.979	0.0	9.7632
HG02165	aSatHOR	146.058	0.0	136.3814
HG02165	ACRO	4.802	0.0	3.752
HG02165	SST1	1.664	0.0	0.5175
HG02165	CER	1.865	0.0	0.8076
HG02165	SATR	2.784	0.0	0.2515
HG02178	HSat1A	21.853	0.0	20.2239
HG02178	HSat1B	1.281	0.0	1.0608
HG02178	HSat2	51.567	0.0	50.7212
HG02178	HSat3	32.442	0.0	55.3026
HG02178	bSat	12.152	0.0	8.4994
HG02178	aSatHOR	151.29	0.0	150.3101
HG02178	ACRO	4.071	0.0	3.1
HG02178	SST1	1.941	0.0	0.5205
HG02178	CER	1.699	0.0	0.7121
HG02178	SATR	2.717	0.0	0.2364
HG02257	HSat1A	27.716	0.0	26.868
HG02257	HSat1B	2.254	0.0	1.7662
HG02257	HSat2	18.03	0.0	64.1276
HG02257	HSat3	73.447	0.0	75.5429
HG02257	bSat	15.723	0.0	12.2958
HG02257	aSatHOR	134.275	0.0	144.7022
HG02257	ACRO	3.378	0.0	2.6647
HG02257	SST1	1.675	0.0	0.5425
HG02257	CER	2.036	0.0	0.8729
HG02257	SATR	2.736	0.0	0.2538
HG02258	HSat1A	28.398	0.0	26.4864
HG02258	HSat1B	11.774	0.0	10.6068
HG02258	HSat2	44.044	17.195	67.0339
HG02258	HSat3	87.376	0.0	85.1436
HG02258	bSat	15.588	0.0	10.6885
HG02258	aSatHOR	135.186	0.0	130.79
HG02258	ACRO	3.348	0.0	2.6308
HG02258	SST1	2.902	0.0	0.6836
HG02258	CER	1.832	0.0	0.7661
HG02258	SATR	2.72	0.0	0.2239
HG02273	HSat1A	15.451	0.0	13.0302
HG02273	HSat1B	1.532	0.0	1.2328
HG02273	HSat2	20.627	29.744	56.2139
HG02273	HSat3	78.241	0.0	73.4911
HG02273	bSat	19.308	0.0	15.3047
HG02273	aSatHOR	149.93	0.0	148.0881
HG02273	ACRO	3.462	0.0	2.745
HG02273	SST1	2.043	0.0	0.5974
HG02273	CER	1.824	0.0	0.8174
HG02273	SATR	2.734	0.0	0.2443
HG02280	HSat1A	27.832	0.0	18.7811
HG02280	HSat1B	2.639	0.0	2.1318
HG02280	HSat2	49.96	0.0	55.4414
HG02280	HSat3	64.471	0.0	53.3489
HG02280	bSat	12.089	0.0	8.6718
HG02280	aSatHOR	145.607	0.0	124.6417
HG02280	ACRO	3.851	0.0	3.0079
HG02280	SST1	2.028	0.0	0.5331
HG02280	CER	1.751	0.0	0.761
HG02280	SATR	2.761	0.0	0.2318
HG02293	HSat1A	14.394	0.0	13.1608
HG02293	HSat1B	1.444	0.0	1.1711
HG02293	HSat2	19.114	24.404	74.7091
HG02293	HSat3	69.79	0.0	68.0411
HG02293	bSat	13.639	0.0	10.337
HG02293	aSatHOR	153.988	0.0	160.0422
HG02293	ACRO	3.64	0.0	3.016
HG02293	SST1	1.926	0.0	0.5137
HG02293	CER	1.774	0.0	0.8051
HG02293	SATR	2.72	0.0	0.2234
HG02300	HSat1A	27.551	0.0	24.9853
HG02300	HSat1B	1.282	0.0	0.977
HG02300	HSat2	30.226	6.738	52.1416
HG02300	HSat3	68.968	0.0	64.8885
HG02300	bSat	18.62	0.0	15.0147
HG02300	aSatHOR	145.65	0.0	142.8839
HG02300	ACRO	3.408	0.0	2.6797
HG02300	SST1	2.783	0.0	0.9075
HG02300	CER	1.979	0.0	0.8429
HG02300	SATR	2.714	0.0	0.2427
HG02391	HSat1A	16.945	0.0	14.6928
HG02391	HSat1B	10.351	0.0	9.3419
HG02391	HSat2	38.943	8.899	52.4821
HG02391	HSat3	83.65	0.0	72.3287
HG02391	bSat	14.569	0.0	9.5679
HG02391	aSatHOR	153.89	0.0	149.1391
HG02391	ACRO	3.871	0.0	3.0576
HG02391	SST1	2.947	0.0	0.5538
HG02391	CER	1.741	0.0	0.7528
HG02391	SATR	2.783	0.0	0.25
HG02392	HSat1A	21.764	0.0	19.5666
HG02392	HSat1B	7.663	0.0	7.8954
HG02392	HSat2	15.662	40.004	58.8643
HG02392	HSat3	49.555	2.666	59.7875
HG02392	bSat	12.834	0.0	8.8252
HG02392	aSatHOR	140.928	0.0	145.0681
HG02392	ACRO	3.964	0.0	3.1526
HG02392	SST1	2.7	0.0	0.6361
HG02392	CER	1.833	0.0	0.7862
HG02392	SATR	2.708	0.0	0.2426
HG02451	HSat1A	23.809	0.0	20.4485
HG02451	HSat1B	1.278	0.0	0.9952
HG02451	HSat2	34.574	9.687	54.1943
HG02451	HSat3	68.053	0.0	62.3162
HG02451	bSat	13.983	0.0	10.6423
HG02451	aSatHOR	128.717	0.0	125.4618
HG02451	ACRO	4.326	0.0	3.4917
HG02451	SST1	1.872	0.0	0.6178
HG02451	CER	1.88	0.0	0.8205
HG02451	SATR	2.742	0.0	0.2366
HG02514	HSat1A	15.5	0.0	15.262
HG02514	HSat1B	21.496	0.0	21.1674
HG02514	HSat2	38.764	0.0	40.6747
HG02514	HSat3	79.985	0.0	75.2414
HG02514	bSat	14.478	0.0	10.2228
HG02514	aSatHOR	141.136	0.0	148.9045
HG02514	ACRO	3.31	0.0	2.5949
HG02514	SST1	2.437	0.0	0.5525
HG02514	CER	1.876	0.0	0.8197
HG02514	SATR	2.74	0.0	0.263
HG02523	HSat1A	15.57	0.0	17.7265
HG02523	HSat1B	1.768	0.0	1.4834
HG02523	HSat2	31.627	18.58	51.6331
HG02523	HSat3	58.32	0.0	55.3029
HG02523	bSat	13.134	0.0	9.8513
HG02523	aSatHOR	146.511	0.0	151.216
HG02523	ACRO	3.752	0.0	2.9694
HG02523	SST1	1.994	0.0	0.5197
HG02523	CER	1.771	0.0	0.8084
HG02523	SATR	2.7	0.0	0.2362
HG02572	HSat1A	18.429	0.0	17.6741
HG02572	HSat1B	10.475	0.0	9.5957
HG02572	HSat2	43.751	0.0	52.3951
HG02572	HSat3	65.499	19.87	81.0052
HG02572	bSat	15.981	0.0	12.4034
HG02572	aSatHOR	144.727	0.0	151.7632
HG02572	ACRO	3.185	0.0	2.731
HG02572	SST1	2.985	0.0	0.8894
HG02572	CER	1.812	0.0	0.8033
HG02572	SATR	2.713	0.0	0.2343
