sample	cls	assembly_Mb	assembly_gapped_Mb	ngsdose_Mb
HG00290	HSat1B	14.159	0.0	13.0177
HG00290	HSat2	47.823	0.0	46.2916
HG00290	HSat3	53.236	1.062	71.3915
HG00290	bSat	15.321	0.0	10.9727
HG00290	aSatHOR	141.379	0.0	137.3614
HG00290	ACRO	3.754	0.0	2.9238
HG00290	SST1	2.964	0.0	0.6782
HG00290	CER	1.917	0.0	0.8161
HG00290	SATR	2.712	0.0	0.2442
HG00320	HSat1A	17.054	0.0	13.4299
HG00320	HSat1B	1.941	0.0	1.61
HG00320	HSat2	58.548	0.0	52.8322
HG00320	HSat3	56.197	0.0	44.7301
HG00320	bSat	14.055	0.0	9.8423
HG00320	aSatHOR	151.748	0.0	140.8494
HG00320	ACRO	4.042	0.0	2.9735
HG00320	SST1	1.859	0.0	0.6799
HG00320	CER	1.971	0.0	0.8069
HG00320	SATR	2.728	0.0	0.2176
HG00321	HSat1A	21.578	0.0	17.5575
HG00321	HSat1B	17.512	0.0	18.9393
HG00321	HSat2	36.163	7.869	42.1306
HG00321	HSat3	86.677	1.652	88.0552
HG00321	bSat	16.993	0.0	11.5695
HG00321	aSatHOR	144.72	0.0	141.4302
HG00321	ACRO	4.346	0.0	3.3971
HG00321	SST1	2.987	0.0	0.7926
HG00321	CER	1.978	0.0	0.8676
HG00321	SATR	2.765	0.0	0.2569
HG00323	HSat1A	22.016	0.0	19.9175
HG00323	HSat1B	2.082	0.0	1.7043
HG00323	HSat2	29.209	12.303	40.2232
HG00323	HSat3	65.927	0.193	63.5223
HG00323	bSat	13.345	0.0	10.0603
HG00323	aSatHOR	147.687	0.0	149.3368
HG00323	ACRO	4.172	0.0	3.4861
HG00323	SST1	2.102	0.0	0.7135
HG00323	CER	2.041	0.0	0.8939
HG00323	SATR	2.706	0.0	0.2371
HG00329	HSat1A	20.075	0.0	17.7663
HG00329	HSat1B	14.286	0.0	12.7206
HG00329	HSat2	49.898	0.0	55.7899
HG00329	HSat3	57.315	0.224	80.6757
HG00329	bSat	14.56	0.0	9.9632
HG00329	aSatHOR	142.442	0.0	140.1836
HG00329	ACRO	3.608	0.0	2.7929
HG00329	SST1	2.781	0.0	0.5798
HG00329	CER	2.117	0.0	0.9334
HG00329	SATR	2.774	0.0	0.2602
HG00344	HSat1A	20.115	0.0	18.346
HG00344	HSat1B	1.447	0.0	1.1265
HG00344	HSat2	31.204	16.713	46.7456
HG00344	HSat3	31.321	0.075	53.9253
HG00344	bSat	16.659	0.0	13.2213
HG00344	aSatHOR	147.923	0.0	148.7813
HG00344	ACRO	3.546	0.0	2.7062
HG00344	SST1	1.698	0.0	0.5315
HG00344	CER	1.989	0.0	0.831
HG00344	SATR	2.744	0.0	0.2195
HG00350	HSat1A	16.659	0.0	13.3183
HG00350	HSat1B	1.565	0.0	1.1791
HG00350	HSat2	32.797	7.212	39.1471
HG00350	HSat3	40.912	21.002	57.0717
HG00350	bSat	14.016	0.0	10.7612
HG00350	aSatHOR	146.712	0.0	147.9766
HG00350	ACRO	3.168	0.0	2.5668
HG00350	SST1	2.072	0.0	0.5878
HG00350	CER	1.969	0.0	0.8682
HG00350	SATR	2.706	0.0	0.2326
HG00408	HSat1A	24.227	0.0	22.5522
HG00408	HSat1B	1.737	0.0	1.4291
HG00408	HSat2	44.708	0.0	63.1527
HG00408	HSat3	54.494	0.0	49.8541
HG00408	bSat	14.822	0.0	11.2275
HG00408	aSatHOR	156.751	0.0	162.4807
HG00408	ACRO	3.033	0.0	2.4883
HG00408	SST1	1.781	0.0	0.5083
HG00408	CER	1.857	0.0	0.8175
HG00408	SATR	2.737	0.0	0.2532
HG00423	HSat1A	20.036	0.0	16.6223
HG00423	HSat1B	2.387	0.0	2.018
HG00423	HSat2	22.03	0.0	41.906
HG00423	HSat3	75.38	0.0	69.7563
HG00423	bSat	13.772	0.0	10.4061
HG00423	aSatHOR	159.427	0.0	154.8729
HG00423	ACRO	3.665	0.0	2.935
HG00423	SST1	1.886	0.0	0.6391
HG00423	CER	1.794	0.0	0.7565
HG00423	SATR	2.716	0.0	0.2347
HG00438	HSat1A	22.281	0.0	19.2203
HG00438	HSat1B	1.738	0.0	1.5124
HG00438	HSat2	39.378	5.652	48.8399
HG00438	HSat3	45.328	0.208	52.1947
HG00438	bSat	14.369	0.0	10.8834
HG00438	aSatHOR	148.95	0.0	145.8561
HG00438	ACRO	4.241	0.0	3.4321
HG00438	SST1	1.809	0.0	0.5418
HG00438	CER	1.787	0.0	0.7592
HG00438	SATR	2.765	0.0	0.2546
HG00544	HSat1A	20.976	0.0	19.4109
HG00544	HSat1B	2.111	0.0	1.795
HG00544	HSat2	28.408	0.0	27.8598
HG00544	HSat3	61.981	0.0	58.9839
HG00544	bSat	13.267	0.0	9.7758
HG00544	aSatHOR	150.984	0.0	157.1014
HG00544	ACRO	4.632	0.0	3.7568
