child	father	mother	population	rDNA45S.cn.child	rDNA45S.cn.father	rDNA45S.cn.mother	rDNA45S.cn_single.child	rDNA45S.cn_single.father	rDNA45S.cn_single.mother	rDNA45S.18S.flat.child	rDNA45S.18S.flat.father	rDNA45S.18S.flat.mother	rDNA5S.cn.child	rDNA5S.cn.father	rDNA5S.cn.mother	HSat1A.mass_Mb.child	HSat1A.mass_Mb.father	HSat1A.mass_Mb.mother	HSat1B.mass_Mb.child	HSat1B.mass_Mb.father	HSat1B.mass_Mb.mother	HSat2.mass_Mb.child	HSat2.mass_Mb.father	HSat2.mass_Mb.mother	HSat3.mass_Mb.child	HSat3.mass_Mb.father	HSat3.mass_Mb.mother	bSat.mass_Mb.child	bSat.mass_Mb.father	bSat.mass_Mb.mother	aSatHOR.mass_Mb.child	aSatHOR.mass_Mb.father	aSatHOR.mass_Mb.mother	ACRO.mass_Mb.child	ACRO.mass_Mb.father	ACRO.mass_Mb.mother	SST1.mass_Mb.child	SST1.mass_Mb.father	SST1.mass_Mb.mother	CER.mass_Mb.child	CER.mass_Mb.father	CER.mass_Mb.mother	SATR.mass_Mb.child	SATR.mass_Mb.father	SATR.mass_Mb.mother	TEL.mass_Mb.child	TEL.mass_Mb.father	TEL.mass_Mb.mother	truth.auto.child	truth.auto.father	truth.auto.mother	DJ.cn.child	DJ.cn.father	DJ.cn.mother	chrM.copies.child	chrM.copies.father	chrM.copies.mother	chrEBV.copies.child	chrEBV.copies.father	chrEBV.copies.mother	depth.child	depth.father	depth.mother	ctrl_dup_frac.child	ctrl_dup_frac.father	ctrl_dup_frac.mother	gc_rel_65.child	gc_rel_65.father	gc_rel_65.mother	insert_median.child	insert_median.father	insert_median.mother
HG02300	HG02299	HG02298	PEL	594.59	584.28	371.7	596.884	572.533	366.38	704.08	637.6	418.59	187.32	165.3	191.23	24.9853	20.6569	23.5754	0.977	10.5783	1.4373	52.1416	56.6145	47.8436	64.8885	65.3537	60.3803	15.0147	13.6528	10.925	142.8839	145.4863	140.0592	2.6797	2.3256	3.2653	0.9075	0.7021	0.7768	0.8429	0.8312	0.8883	0.2427	0.226	0.2453	0.5553	0.3678	0.2807	1.9873	1.9917	2.0027	9.61	9.55	9.99	692.1235	517.3448	655.5996	23.0524	29.9404	12.8916	38.566	37.01	35.793	0.0728	0.1153	0.1021	1.3087	1.1825	1.2325	450.0	427.0	413.0
HG02303	HG02302	HG02301	PEL	589.93	373.24	533.24	579.451	374.102	531.933	645.79	442.8	602.53	145.74	205.55	153.2	19.2387	26.5767	12.1106	1.3899	9.2526	1.3498	59.9815	57.911	55.994	52.3797	70.6432	49.351	11.6416	10.8204	11.5449	159.2938	140.2373	149.1117	3.3111	3.1861	2.8777	0.7841	0.7711	0.5425	0.8579	0.8647	0.8018	0.2563	0.2538	0.2407	0.4011	0.5967	0.3966	2.0034	1.9975	2.0025	9.59	9.8	9.53	661.923	815.2051	576.7835	100.6314	11.5801	28.387	37.948	38.591	35.673	0.1025	0.0796	0.095	1.1549	1.2972	1.2322	447.0	451.0	412.0
HG02316	HG02317	HG02318	ACB	601.83	402.53	658.03	607.763	399.761	655.341	689.33	468.38	785.26	307.69	229.83	175.57	16.8759	13.4104	17.188	16.1363	13.7592	0.9497	47.0761	48.3682	31.3171	91.6391	55.7356	53.0087	12.0513	10.1023	12.4842	151.4686	97.2574	141.8942	3.679	2.7895	3.5172	0.5415	0.579	0.6572	0.8511	0.8487	0.8268	0.2601	0.2328	0.2441	0.3803	0.3044	0.5114	1.9916	1.9963	1.9846	9.69	9.39	9.73	435.223	664.8529	916.1163	46.9427	15.6001	67.5217	35.595	34.373	34.735	0.067	0.1051	0.1082	1.2535	1.2171	1.3037	437.0	428.0	417.0
HG02321	HG02281	HG02282	ACB	461.69	509.27	314.97	457.835	512.632	311.549	521.75	612.86	367.69	267.8	201.97	254.36	18.146	17.1593	17.4396	2.5787	12.7555	1.0484	53.3486	44.2027	56.0566	62.0012	67.7026	54.0359	10.6746	9.7416	12.4214	135.9304	115.2522	119.0557	3.1249	3.2782	3.1955	0.7753	0.8291	0.5494	0.7933	0.8109	0.8327	0.2393	0.2327	0.2513	0.5558	0.3935	0.4137	1.9852	1.9957	1.9944	9.69	9.7	9.62	944.2416	867.0486	852.601	116.1807	36.2807	146.9272	38.924	34.778	37.855	0.0987	0.1136	0.1008	1.2612	1.2582	1.2145	446.0	419.0	417.0
HG02451	HG02449	HG02450	ACB	482.33	529.58	520.05	473.207	529.813	527.601	578.19	597.19	590.85	423.95	307.19	367.09	20.4485	17.9038	18.4104	0.9952	7.2965	1.0128	54.1943	57.8046	48.5583	62.3162	74.991	43.3495	10.6423	10.9038	10.2097	125.4618	127.059	108.6031	3.4917	3.5077	3.135	0.6178	0.5964	0.5794	0.8205	0.8758	0.8016	0.2366	0.2419	0.2314	0.5269	0.6349	0.3371	1.9906	1.9991	1.9947	9.57	9.39	9.49	595.289	426.2476	803.1342	112.2699	69.9344	14.8627	38.497	39.244	38.414	0.0802	0.0978	0.1053	1.2943	1.2719	1.2564	436.0	424.0	420.0
HG02463	HG02461	HG02462	GWD	914.0	437.53	934.59	900.609	445.334	923.643	1114.87	494.0	1075.74	266.71	232.96	185.82	17.4379	14.7058	19.7923	11.1108	12.5539	0.6856	33.8954	39.6798	37.5196	67.2741	77.786	56.3216	10.9682	11.8207	10.4087	130.5621	126.8242	140.1146	2.4401	2.7261	2.7823	0.5273	0.6274	0.6175	0.9398	0.8601	0.8673	0.2392	0.2504	0.2349	0.4837	0.7609	0.1708	2.0085	2.0011	2.0083	9.58	9.62	9.69	606.1445	700.0843	954.6256	22.7565	53.6167	113.4196	40.059	39.335	38.577	0.0743	0.0953	0.1028	1.2991	1.2534	1.2467	447.0	429.0	435.0
HG02466	HG02464	HG02465	GWD	706.93	621.24	497.83	691.772	615.407	487.154	871.22	683.17	545.94	372.6	219.58	319.21	20.4191	23.562	25.0174	9.0269	9.809	1.2059	41.9711	36.2651	56.2883	74.2652	73.7955	71.4531	11.2001	10.6295	9.8201	125.0664	146.3056	132.8867	3.8127	3.8941	3.5616	0.5417	0.612	0.7827	0.7961	0.798	0.8065	0.2585	0.2674	0.2392	0.2775	0.2599	0.4475	1.9934	1.993	2.0178	9.68	9.8	8.76	952.111	624.7725	531.9	20.8089	24.7438	19.2568	41.409	34.532	35.519	0.088	0.103	0.1132	1.3235	1.1754	1.1938	440.0	440.0	434.0
HG02492	HG02490	HG02491	PJL	456.33	419.87	512.71	446.152	418.058	519.536	563.11	471.85	581.73	247.17	242.32	185.84	20.4275	21.0709	13.9416	8.5634	8.037	1.065	45.7712	46.1075	36.5163	69.8426	62.7568	50.4242	11.0159	10.377	10.0584	145.16	142.3608	134.0485	3.3576	2.9764	3.6038	0.5972	0.6561	0.5273	0.9223	0.8917	0.8859	0.2453	0.2294	0.2308	0.4808	0.3962	0.448	2.0003	1.9959	1.995	9.71	9.61	9.79	552.4491	696.237	758.0406	9.2593	34.4909	11.7861	38.3	40.458	39.293	0.077	0.111	0.1332	1.2911	1.2268	1.2646	438.0	427.0	424.0
HG02495	HG02493	HG02494	PJL	509.05	529.79	465.0	505.155	529.932	462.553	602.2	608.35	504.56	174.64	162.45	194.66	14.8886	19.0997	17.2745	0.8418	10.016	0.8572	43.6117	48.542	41.4038	57.2287	78.0008	47.1382	15.141	14.4818	10.7398	146.8815	145.3969	149.0859	2.1626	2.5785	2.5385	0.7863	0.568	0.7447	0.899	0.8646	0.9347	0.2618	0.255	0.2421	0.301	0.2576	0.2228	2.0103	2.0031	1.9871	9.34	9.77	9.92	880.5488	717.5408	1064.4015	19.0332	31.296	23.6057	41.023	37.069	38.779	0.0821	0.1087	0.1052	1.2545	1.2637	1.1263	445.0	443.0	433.0
HG02514	HG02512	HG02513	KHV	673.12	565.42	585.65	653.494	560.817	586.822	799.52	638.88	665.11	188.98	154.62	140.19	15.262	17.2874	12.8016	21.1674	20.1794	1.5553	40.6747	36.4256	37.2534	75.2414	68.8563	48.6178	10.2228	9.793	10.4928	148.9045	144.2304	153.1184	2.5949	2.955	3.5107	0.5525	0.376	0.6454	0.8197	0.8101	0.7678	0.263	0.232	0.2621	0.3221	0.365	0.3232	1.9984	1.9758	2.001	9.81	9.68	9.66	863.1966	728.7633	691.3237	18.4811	35.4575	32.5972	40.988	39.682	38.123	0.089	0.1162	0.0969	1.2424	1.2566	1.2522	446.0	419.0	434.0
HG02523	HG02521	HG02522	KHV	549.53	556.0	433.18	531.42	556.75	425.445	660.11	622.36	490.87	163.71	157.4	177.0	17.7265	18.5987	20.356	1.4834	18.9064	1.4038	51.6331	30.9653	53.3944	55.3029	87.7828	46.7642	9.8513	9.8145	9.3311	151.216	142.558	153.2585	2.9694	3.2159	3.1269	0.5197	0.6605	0.4162	0.8084	0.7589	0.8441	0.2362	0.2457	0.2174	0.5019	0.3984	0.4389	1.9984	1.9976	1.9901	9.36	9.47	9.63	656.8888	744.1851	665.4826	111.8165	273.517	81.0173	36.967	37.787	34.407	0.0803	0.1002	0.1048	1.2773	1.2226	1.245	445.0	427.0	443.0
HG02526	HG02524	HG02525	KHV	408.51	410.44	479.12	407.966	407.943	471.395	461.3	473.34	556.89	136.39	178.16	136.66	15.542	14.2647	15.1368	1.4595	12.0191	1.4768	43.9253	36.7315	46.3487	46.7789	59.1264	46.731	9.5744	9.8484	9.2498	163.6309	161.0803	153.5803	2.8715	2.5798	3.2152	0.8379	0.752	0.7193	0.768	0.774	0.7799	0.2468	0.2538	0.2441	0.2416	0.42	0.5446	1.9969	1.9955	1.9886	9.82	9.83	9.74	1104.5183	822.9691	852.2537	32.3246	98.9034	56.9214	35.805	35.877	35.687	0.0847	0.0665	0.0665	1.2016	1.2296	1.2594	444.0	445.0	446.0
HG02575	HG02573	HG02574	GWD	544.97	546.52	471.94	540.458	550.136	463.852	574.3	541.44	523.67	155.07	153.82	255.97	29.2251	25.7194	24.2557	9.1897	9.2013	1.2206	55.0213	51.9496	60.3016	67.5714	74.3104	59.2747	10.1129	10.4438	11.7775	141.9686	144.5242	142.6081	3.4575	3.3508	2.9379	0.6931	0.6221	0.6984	0.8477	0.8468	0.866	0.2488	0.2378	0.2348	0.4534	0.3693	0.5885	1.9822	1.9998	1.9996	9.62	9.93	9.55	1201.1205	891.6947	1143.9334	69.4459	12.3497	26.084	47.917	43.999	35.229	0.1924	0.2164	0.1008	1.0758	1.0339	1.2028	453.0	428.0	434.0
