sample	pipeline	depth	insert_median	gc_rel_65	truth.auto	truth.chrX	truth.chrY	DJ.cn	rDNA45S.cn	rDNA45S.cn_single	rDNA45S.18S.flat	rDNA5S.cn
HG002	Google GIAB NovaSeq	35.716	378	1.1957	2.0036	0.9984	0.9643	9.76	557.82	562.568	656.92	157.06
HG003	Google GIAB NovaSeq	35.886	385	1.1299	2.0021	1.0012	0.9896	9.87	425.59	430.789	488.54	134.73
HG004	Google GIAB NovaSeq	35.505	369	1.1758	1.989	1.9271	0.0097	9.63	523.1	520.946	605.01	153.99
NA12878	Google GIAB NovaSeq	35.579	371	1.1865	2.0102	1.9286	0.0094	9.69	498.83	502.476	575.07	199.53
NA12891	Google GIAB NovaSeq	34.457	408	1.4485	2.0253	1.0199	0.993	9.8	551.43	570.08	761.5	208.06
NA12892	Google GIAB NovaSeq	33.779	401	1.5544	1.9904	1.9234	0.0101	10.05	547.27	569.283	807.85	246.46
NA12878	NYGC 1000G NovaSeq	37.393	434	1.257	2.0016	1.944	0.0029	9.66	498.57	503.996	552.8	212.87
NA12891	NYGC 1000G NovaSeq	38.054	431	1.2175	1.9985	0.9984	0.9779	9.66	556.72	556.688	607.42	216.62
NA12892	NYGC 1000G NovaSeq	37.727	443	1.3535	1.981	1.9097	0.002	9.89	571.18	566.689	708.2	269.68
