SAMPLE	AUTO_HQ_median	N_BINS
HG00404.by1000.	30.22	142070
HG00405.by1000.	32.55	142070
HG00406.by1000.	33.34	142070
HG00407.by1000.	35.04	142070
HG00408.by1000.	33.42	142070
HG00409.by1000.	30.02	142070
HG00410.by1000.	33.98	142070
HG00418.by1000.	35.0	142070
HG00419.by1000.	33.07	142070
HG00420.by1000.	33.14	142070
HG00421.by1000.	34.68	142070
HG00422.by1000.	35.59	142070
HG00423.by1000.	33.29	142070
HG00427.by1000.	36.0	142070
HG00428.by1000.	32.52	142070
HG00429.by1000.	33.86	142070
HG00436.by1000.	30.89	142070
HG00437.by1000.	32.09	142070
HG00438.by1000.	33.16	142070
HG00442.by1000.	34.97	142070
HG00443.by1000.	35.46	142070
HG00444.by1000.	33.58	142070
HG00445.by1000.	37.62	142070
HG00446.by1000.	33.77	142070
HG00447.by1000.	32.95	142070
HG00448.by1000.	36.61	142070
HG00449.by1000.	32.27	142070
HG00450.by1000.	35.46	142070
HG00451.by1000.	34.58	142070
HG00452.by1000.	31.94	142070
HG00453.by1000.	35.79	142070
HG00457.by1000.	33.95	142070
HG00458.by1000.	34.51	142070
HG00459.by1000.	33.03	142070
HG00463.by1000.	33.85	142070
HG00464.by1000.	34.11	142070
HG00465.by1000.	33.34	142070
HG00472.by1000.	30.25	142070
HG00473.by1000.	36.89	142070
HG00474.by1000.	35.3	142070
HG00475.by1000.	33.35	142070
HG00476.by1000.	30.62	142070
HG00477.by1000.	34.91	142070
HG00478.by1000.	33.38	142070
HG00479.by1000.	31.01	142070
HG00480.by1000.	33.28	142070
HG00500.by1000.	36.7	142070
HG00501.by1000.	30.44	142070
HG00502.by1000.	32.89	142070
HG00512.by1000.	34.48	142070
HG00513.by1000.	62.9	142070
HG00514.by1000.	33.5	142070
HG00524.by1000.	32.51	142070
HG00525.by1000.	32.15	142070
HG00526.by1000.	33.67	142070
HG00530.by1000.	33.77	142070
HG00531.by1000.	34.49	142070
HG00532.by1000.	35.19	142070
HG00533.by1000.	33.69	142070
HG00534.by1000.	34.01	142070
HG00535.by1000.	32.78	142070
HG00536.by1000.	30.71	142070
HG00537.by1000.	31.69	142070
HG00538.by1000.	33.71	142070
HG00542.by1000.	33.07	142070
HG00543.by1000.	38.06	142070
HG00544.by1000.	32.82	142070
HG00551.by1000.	45.53	142070
HG00552.by1000.	34.57	142070
HG00553.by1000.	35.3	142070
HG00554.by1000.	33.78	142070
HG00555.by1000.	32.4	142070
HG00556.by1000.	30.03	142070
HG00557.by1000.	33.54	142070
HG00558.by1000.	32.48	142070
HG00559.by1000.	32.65	142070
HG00560.by1000.	31.24	142070
HG00561.by1000.	34.33	142070
HG00565.by1000.	31.28	142070
HG00566.by1000.	44.27	142070
HG00567.by1000.	28.94	142070
HG00577.by1000.	32.58	142070
HG00578.by1000.	33.12	142070
HG00579.by1000.	32.95	142070
HG00580.by1000.	33.83	142070
HG00581.by1000.	31.48	142070
HG00582.by1000.	31.8	142070
HG00583.by1000.	34.37	142070
HG00584.by1000.	40.81	142070
HG00585.by1000.	32.41	142070
HG00589.by1000.	34.81	142070
HG00590.by1000.	32.58	142070
HG00591.by1000.	35.33	142070
HG00592.by1000.	35.5	142070
HG00593.by1000.	33.97	142070
HG00594.by1000.	36.15	142070
HG00595.by1000.	31.11	142070
HG00596.by1000.	43.31	142070
HG00597.by1000.	33.08	142070
HG00598.by1000.	34.56	142070
HG00599.by1000.	33.38	142070
HG00607.by1000.	37.13	142070
HG00608.by1000.	44.39	142070
HG00609.by1000.	35.51	142070
HG00610.by1000.	35.28	142070
HG00611.by1000.	35.19	142070
HG00612.by1000.	32.88	142070
HG00613.by1000.	32.5	142070
HG00614.by1000.	31.93	142070
HG00615.by1000.	33.22	142070
HG00621.by1000.	32.75	142070
HG00622.by1000.	31.58	142070
HG00623.by1000.	35.55	142070
HG00625.by1000.	35.04	142070
HG00626.by1000.	33.25	142070
HG00627.by1000.	33.52	142070
HG00628.by1000.	34.94	142070
HG00629.by1000.	44.79	142070
HG00630.by1000.	34.62	142070
HG00631.by1000.	31.38	142070
HG00632.by1000.	30.73	142070
HG00634.by1000.	33.67	142070
HG00635.by1000.	33.51	142070
HG00636.by1000.	36.29	142070
HG00637.by1000.	33.21	142070
HG00638.by1000.	35.94	142070
HG00639.by1000.	31.44	142070
HG00640.by1000.	31.62	142070
HG00641.by1000.	32.18	142070
HG00642.by1000.	34.31	142070
HG00650.by1000.	38.71	142070
HG00651.by1000.	34.03	142070
HG00652.by1000.	33.18	142070
HG00653.by1000.	50.31	142070
HG00654.by1000.	31.57	142070
HG00655.by1000.	33.74	142070
HG00656.by1000.	33.59	142070
HG00657.by1000.	31.51	142070
HG00658.by1000.	33.44	142070
HG00662.by1000.	55.72	142070
HG00663.by1000.	32.27	142070
HG00664.by1000.	36.74	142070
HG00671.by1000.	34.11	142070
HG00672.by1000.	29.93	142070
HG00673.by1000.	32.16	142070
HG00674.by1000.	33.79	142070
HG00675.by1000.	31.08	142070
HG00683.by1000.	33.12	142070
HG00684.by1000.	30.28	142070
HG00685.by1000.	35.31	142070
HG00689.by1000.	49.64	142070
HG00690.by1000.	31.98	142070
HG00691.by1000.	33.74	142070
HG00692.by1000.	33.57	142070
HG00693.by1000.	33.77	142070
HG00694.by1000.	33.46	142070
HG00698.by1000.	38.64	142070
HG00699.by1000.	35.56	142070
HG00700.by1000.	33.21	142070
HG00701.by1000.	38.56	142070
HG00702.by1000.	32.12	142070
HG00703.by1000.	35.39	142070
HG00704.by1000.	30.06	142070
HG00705.by1000.	30.59	142070
HG00706.by1000.	34.96	142070
HG00707.by1000.	32.95	142070
HG00708.by1000.	32.59	142070
HG00709.by1000.	35.47	142070
HG00717.by1000.	31.11	142070
HG00728.by1000.	32.09	142070
HG00729.by1000.	38.26	142070
HG00731.by1000.	30.88	142070
HG00732.by1000.	32.3	142070
HG00733.by1000.	33.24	142070
HG00734.by1000.	33.47	142070
HG00735.by1000.	33.17	142070
HG00736.by1000.	33.34	142070
HG00737.by1000.	33.16	142070
HG00738.by1000.	35.01	142070
HG00739.by1000.	34.63	142070
HG00740.by1000.	32.49	142070
HG00741.by1000.	33.99	142070
HG00742.by1000.	36.74	142070
HG00743.by1000.	29.83	142070
HG00759.by1000.	31.96	142070
HG00766.by1000.	33.39	142070
HG00844.by1000.	31.86	142070
HG00851.by1000.	37.09	142070
HG00864.by1000.	33.31	142070
HG00867.by1000.	33.75	142070
HG00879.by1000.	30.32	142070
HG00881.by1000.	34.77	142070
HG00956.by1000.	33.31	142070
HG00978.by1000.	36.98	142070
HG00982.by1000.	34.48	142070
HG01028.by1000.	49.94	142070
HG01029.by1000.	42.7	142070
HG01031.by1000.	34.05	142070
HG01046.by1000.	33.57	142070
HG01047.by1000.	32.65	142070
HG01048.by1000.	42.46	142070
HG01049.by1000.	39.41	142070
HG01050.by1000.	31.68	142070
HG01051.by1000.	30.54	142070
HG01052.by1000.	33.29	142070
HG01053.by1000.	33.51	142070
HG01054.by1000.	30.35	142070
HG01055.by1000.	32.92	142070
HG01056.by1000.	35.24	142070
HG01058.by1000.	34.02	142070
HG01060.by1000.	35.16	142070
HG01061.by1000.	33.33	142070
HG01062.by1000.	31.94	142070
HG01063.by1000.	33.38	142070
HG01064.by1000.	32.99	142070
HG01066.by1000.	33.53	142070
HG01067.by1000.	32.92	142070
HG01068.by1000.	34.79	142070
HG01069.by1000.	49.93	142070
HG01070.by1000.	31.26	142070
HG01071.by1000.	33.91	142070
HG01072.by1000.	29.63	142070
HG01073.by1000.	35.19	142070
HG01074.by1000.	33.84	142070
HG01075.by1000.	35.49	142070
HG01077.by1000.	32.44	142070
HG01079.by1000.	32.46	142070
HG01080.by1000.	34.55	142070
HG01081.by1000.	34.42	142070
HG01082.by1000.	33.43	142070
HG01083.by1000.	38.92	142070
HG01084.by1000.	34.91	142070
